date,old_ticker,new_ticker
24/12/2025,STEC,BVC
22/12/2025,QD,HTT
19/12/2025,SGD,RENX
16/12/2025,TZUP,DTCX
12/12/2025,NAOV,FEED
10/12/2025,OBLG,TWAV
10/12/2025,MCTR,TJGC
10/12/2025,CJET,DCX
9/12/2025,CEP,XXI
8/12/2025,DOOO,DOO
8/12/2025,HUSA,AGIG
2/12/2025,AMRK,GOLD
1/12/2025,ENTO,GRDX
28/11/2025,CHEK,MBAI
25/11/2025,MESA,RJET
20/11/2025,AMBC,OSG
20/11/2025,OPT,OPTEY
19/11/2025,ATUS,OPTU
19/11/2025,QLGN,AIXC
18/11/2025,GCI,TDAY
17/11/2025,FORD,FWDI
14/11/2025,LNW,LNWO
13/11/2025,LPTX,CYPH
13/11/2025,MFH,CD
13/11/2025,AGRI,AVX
12/11/2025,PTNT,PTN
12/11/2025,GTI,GTIJF
11/11/2025,QSG,HERE
11/11/2025,FI,FISV
10/11/2025,NVFY,XWIN
10/11/2025,EBR,AXIA
3/11/2025,Q.W,Q
3/11/2025,ERJ,EMBJ
3/11/2025,ADN,ADNH
31/10/2025,CCCS,CCC
31/10/2025,GLLI,ALPS
30/10/2025,IMAB,NBP
29/10/2025,HOND,IMSR
28/10/2025,PHH,BYAH
27/10/2025,GIWWU,GIW
20/10/2025,BTCM,SLAI
13/10/2025,PWM,AURE
10/10/2025,GSRT,NKLR
10/10/2025,SHOT,BNKK
10/10/2025,SWIN,AXG
7/10/2025,SYTA,CHAI
7/10/2025,APDN,BNBX
3/10/2025,BREA,SLMT
1/10/2025,IROH,UCFI
1/10/2025,MJID,PASW
1/10/2025,RENB,LNAI
30/9/2025,CNFR,PRHI
25/9/2025,TNFA,QCLS
25/9/2025,AACT,KDK
22/9/2025,CASK,IPST
19/9/2025,ANTE,YDKG
12/9/2025,BSGM,STEX
12/9/2025,CYCC,BGMS
11/9/2025,OCTO,ORBS
11/9/2025,MEIP,LITS
11/9/2025,PORT,ANGX
5/9/2025,HSON,STRR
4/9/2025,YOSH,VSTD
4/9/2025,IPA,HYFT
4/9/2025,PRTG,ATON
4/9/2025,AC,ACGP
3/9/2025,GRYP,ABTC
2/9/2025,VERB,TONX
2/9/2025,AGFY,RYM
2/9/2025,HMST,MCHB
2/9/2025,BHLB,BBT
29/8/2025,BRZH,YDES
29/8/2025,BLDE,SRTA
29/8/2025,BYON,BBBY
27/8/2025,DYNX,ETHM
26/8/2025,MCVT,SUIG
26/8/2025,NWTN,AIIO
25/8/2025,AYRO,SBLX
25/8/2025,PTMN,BCIC
22/8/2025,ADD,ZNB
19/8/2025,VLDX,VELO
18/8/2025,ATNF,ETHZ
15/8/2025,CCIR,KYIV
15/8/2025,RSLS,HIND
14/8/2025,KNW,USBC
13/8/2025,RMBL,RDNW
13/8/2025,NEHC,NUAI
13/8/2025,USM,AD
12/8/2025,HLXB,BBOT
11/8/2025,DATS,MYSE
11/8/2025,FGF,FGNX
8/8/2025,CHEB,PLBL
8/8/2025,AIFE,PGAC
7/8/2025,PARA,PSKY
6/8/2025,VAPE,BNC
4/8/2025,BIGC,CMRC
31/7/2025,VLCN,EMPD
31/7/2025,CCCM,BRR
29/7/2025,KIRK,TBHC
29/7/2025,PET,PETXQ
28/7/2025,IKNA,IMA
28/7/2025,MULN,BINI
24/7/2025,DTC,SBDS
21/7/2025,KIND,NXDR
18/7/2025,SRM,TRON
18/7/2025,DTCB,SBDS
16/7/2025,CLBR,PEW
15/7/2025,BNIX,VWAV
14/7/2025,NVAC,PFSA
10/7/2025,DIST,YOUL
10/7/2025,MINM,FIEE
8/7/2025,UBX,UNBX
7/7/2025,LTRY,SEGG
3/7/2025,EYEN,HYPD
3/7/2025,JVSA,HBNB
2/7/2025,CHRO,PTHS
2/7/2025,IGT,BRSL
1/7/2025,SNPX,TAOX
1/7/2025,LANC,MZTI
1/7/2025,KWE,DFSC
25/6/2025,SUP,SSUP
18/6/2025,OCX,IMDX
17/6/2025,AIMI,AIM
16/6/2025,GLYC,CBIO
13/6/2025,CEAD,BNC
10/6/2025,OB,TEAD
9/6/2025,BHAC,SAFX
9/6/2025,CSWI,CSW
9/6/2025,CCCMU,BRR
6/6/2025,BSII,TGE
6/6/2025,HCVI,NAMM
3/6/2025,JUNE,SUPX
27/5/2025,TOPW,SORA
23/5/2025,KDLY,NAKA
19/5/2025,DMN,DMNIF
16/5/2025,PGHL,ZDAI
15/5/2025,WW,WGHTQ
14/5/2025,RTC,RTCJF
